ProductKey,EnglishProductName,StandardCost,ListPrice,DealerPrice,Weight,SafetyStockLevel,ReorderPoint,DaysToManufacture
1,Adjustable Race,,,,,1000,750,0
2,Bearing Ball,,,,,1000,750,0
12,Crown Race,,,,,1000,750,0
14,Decal 1,,,,,1000,750,0
15,Decal 2,,,,,1000,750,0
22,Flat Washer 1,,,,,1000,750,0
23,Flat Washer 6,,,,,1000,750,0
24,Flat Washer 2,,,,,1000,750,0
25,Flat Washer 9,,,,,1000,750,0
26,Flat Washer 4,,,,,1000,750,0
27,Flat Washer 3,,,,,1000,750,0
28,Flat Washer 8,,,,,1000,750,0
29,Flat Washer 5,,,,,1000,750,0
30,Flat Washer 7,,,,,1000,750,0
38,Thin-Jam Hex Nut 9,,,,,1000,750,0
39,Thin-Jam Hex Nut 10,,,,,1000,750,0
40,Thin-Jam Hex Nut 1,,,,,1000,750,0
41,Thin-Jam Hex Nut 2,,,,,1000,750,0
42,Thin-Jam Hex Nut 15,,,,,1000,750,0
43,Thin-Jam Hex Nut 16,,,,,1000,750,0
44,Thin-Jam Hex Nut 5,,,,,1000,750,0
45,Thin-Jam Hex Nut 6,,,,,1000,750,0
46,Thin-Jam Hex Nut 3,,,,,1000,750,0
47,Thin-Jam Hex Nut 4,,,,,1000,750,0
48,Thin-Jam Hex Nut 13,,,,,1000,750,0
49,Thin-Jam Hex Nut 14,,,,,1000,750,0
50,Thin-Jam Hex Nut 7,,,,,1000,750,0
51,Thin-Jam Hex Nut 8,,,,,1000,750,0
52,Thin-Jam Hex Nut 12,,,,,1000,750,0
53,Thin-Jam Hex Nut 11,,,,,1000,750,0
54,Hex Nut 5,,,,,1000,750,0
55,Hex Nut 6,,,,,1000,750,0
56,Hex Nut 16,,,,,1000,750,0
57,Hex Nut 17,,,,,1000,750,0
58,Hex Nut 7,,,,,1000,750,0
59,Hex Nut 8,,,,,1000,750,0
60,Hex Nut 9,,,,,1000,750,0
61,Hex Nut 22,,,,,1000,750,0
62,Hex Nut 23,,,,,1000,750,0
63,Hex Nut 12,,,,,1000,750,0
64,Hex Nut 13,,,,,1000,750,0
65,Hex Nut 1,,,,,1000,750,0
66,Hex Nut 10,,,,,1000,750,0
67,Hex Nut 11,,,,,1000,750,0
68,Hex Nut 2,,,,,1000,750,0
69,Hex Nut 20,,,,,1000,750,0
70,Hex Nut 21,,,,,1000,750,0
71,Hex Nut 3,,,,,1000,750,0
72,Hex Nut 14,,,,,1000,750,0
73,Hex Nut 15,,,,,1000,750,0
74,Hex Nut 4,,,,,1000,750,0
75,Hex Nut 18,,,,,1000,750,0
76,Hex Nut 19,,,,,1000,750,0
81,Keyed Washer,,,,,1000,750,0
82,External Lock Washer 3,,,,,1000,750,0
83,External Lock Washer 4,,,,,1000,750,0
84,External Lock Washer 9,,,,,1000,750,0
85,External Lock Washer 5,,,,,1000,750,0
86,External Lock Washer 7,,,,,1000,750,0
87,External Lock Washer 6,,,,,1000,750,0
88,External Lock Washer 1,,,,,1000,750,0
89,External Lock Washer 8,,,,,1000,750,0
90,External Lock Washer 2,,,,,1000,750,0
91,Internal Lock Washer 3,,,,,1000,750,0
