CurrencyKey,DateKey,Average Rate,End Of Day Rate
100,20170701,1,1
100,20170702,1,1
100,20170703,1,1
100,20170704,1,1
100,20170705,1,1
100,20170706,1,1
100,20170707,1,1
100,20170708,1,1
100,20170709,1,1
100,20170710,1,1
100,20170711,1,1
100,20170712,1,1
100,20170713,1,1
100,20170714,1,1
100,20170715,1,1
100,20170716,1,1
100,20170717,1,1
100,20170718,1,1
100,20170719,1,1
100,20170720,1,1
100,20170721,1,1
100,20170722,1,1
100,20170723,1,1
100,20170724,1,1
100,20170725,1,1
100,20170726,1,1
100,20170727,1,1
100,20170728,1,1
100,20170729,1,1
100,20170730,1,1
100,20170731,1,1
100,20170801,1,1
100,20170802,1,1
100,20170803,1,1
100,20170804,1,1
100,20170805,1,1
100,20170806,1,1
100,20170807,1,1
100,20170808,1,1
100,20170809,1,1
100,20170810,1,1
100,20170811,1,1
100,20170812,1,1
100,20170813,1,1
100,20170814,1,1
100,20170815,1,1
100,20170816,1,1
100,20170817,1,1
100,20170818,1,1
100,20170819,1,1
100,20170820,1,1
100,20170821,1,1
100,20170822,1,1
100,20170823,1,1
100,20170824,1,1
100,20170825,1,1
100,20170826,1,1
100,20170827,1,1
100,20170828,1,1
100,20170829,1,1
100,20170830,1,1
100,20170831,1,1
100,20170901,1,1
100,20170902,1,1
100,20170903,1,1
100,20170904,1,1
100,20170905,1,1
100,20170906,1,1
100,20170907,1,1
100,20170908,1,1
100,20170909,1,1
100,20170910,1,1
100,20170911,1,1
100,20170912,1,1
100,20170913,1,1
100,20170914,1,1
100,20170915,1,1
100,20170916,1,1
100,20170917,1,1
100,20170918,1,1
100,20170919,1,1
100,20170920,1,1
100,20170921,1,1
100,20170922,1,1
100,20170923,1,1
100,20170924,1,1
100,20170925,1,1
100,20170926,1,1
100,20170927,1,1
100,20170928,1,1
100,20170929,1,1
100,20170930,1,1
100,20171001,1,1
100,20171002,1,1
100,20171003,1,1
100,20171004,1,1
100,20171005,1,1
100,20171006,1,1
100,20171007,1,1
100,20171008,1,1
100,20171009,1,1
100,20171010,1,1
100,20171011,1,1
100,20171012,1,1
100,20171013,1,1
100,20171014,1,1
100,20171015,1,1
100,20171016,1,1
100,20171017,1,1
100,20171018,1,1
100,20171019,1,1
100,20171020,1,1
100,20171021,1,1
100,20171022,1,1
100,20171023,1,1
