Date,Sub Category ID,Plant ID,Vendor ID,Material ID,Defect Type ID,Material Type ID,Defect ID,Defect Qty,Downtime min
12/31/2014 0:00,2,16,2,2126,3,4,27,0,60
12/31/2014 0:00,2,16,2,2126,3,4,27,0,60
12/31/2014 0:00,2,16,2,2137,3,6,281,1,60
12/31/2014 0:00,2,20,59,1439,3,8,295,9,10
12/31/2014 0:00,2,2,46,607,3,8,299,47,30
12/31/2014 0:00,1,1,16,1824,3,3,90,20009,218
12/31/2014 0:00,4,5,4,54,4,2,25,1,75
12/31/2014 0:00,6,10,62,269,4,3,12,570,70
12/31/2014 0:00,6,10,62,878,4,1,11,623,30
12/31/2014 0:00,4,21,103,450,1,9,247,14418,0
12/31/2014 0:00,6,10,8,770,4,9,105,1562,0
12/31/2014 0:00,1,1,1,2148,1,1,270,490,0
12/31/2014 0:00,1,1,16,2147,4,3,90,445,0
12/31/2014 0:00,1,1,16,1824,4,3,90,6692,0
12/31/2014 0:00,4,18,77,2141,1,9,247,0,0
12/30/2014 0:00,2,16,2,2126,3,4,27,0,70
12/30/2014 0:00,2,16,2,2126,3,4,27,0,15
12/30/2014 0:00,2,16,47,1503,3,6,82,2,240
12/30/2014 0:00,2,16,1,2146,3,1,273,14,15
12/30/2014 0:00,2,16,1,2146,3,1,273,45,60
12/30/2014 0:00,2,16,1,2146,3,1,291,107,60
12/30/2014 0:00,2,20,62,2139,3,1,11,12460,60
12/30/2014 0:00,4,22,99,1499,4,9,69,14205,0
12/29/2014 0:00,2,17,36,2143,4,14,279,0,101
12/29/2014 0:00,2,16,2,2126,3,4,27,0,15
12/29/2014 0:00,3,4,11,2111,3,2,158,7103,10
12/29/2014 0:00,4,12,96,466,3,9,69,8010,300
12/29/2014 0:00,3,4,1,2138,3,1,270,1202,360
12/29/2014 0:00,6,10,3,1557,4,9,105,1211,0
12/29/2014 0:00,3,4,4,2144,1,10,57,890,0
12/29/2014 0:00,3,4,4,2144,1,10,57,1780,0
12/29/2014 0:00,3,4,4,2145,1,10,57,4450,0
12/29/2014 0:00,3,4,4,2120,1,10,57,8010,0
12/29/2014 0:00,3,4,18,1061,4,8,37,14,0
12/29/2014 0:00,3,4,17,150,3,13,289,0,0
12/28/2014 0:00,2,20,93,2114,1,9,64,890,0
12/25/2014 0:00,2,11,2,265,3,6,281,6,27
12/25/2014 0:00,2,11,2,1663,3,4,34,6,18
12/25/2014 0:00,2,16,13,2118,3,1,7,178,60
12/25/2014 0:00,2,11,27,1150,1,1,270,178,0
12/25/2014 0:00,2,24,1,5,4,1,5,1748,0
12/25/2014 0:00,1,1,1,1547,4,1,17,641,0
12/25/2014 0:00,2,11,2,2126,3,4,27,2,0
12/24/2014 0:00,2,16,79,1330,3,3,300,45,120
12/24/2014 0:00,5,7,21,1857,4,8,124,113030,60
12/24/2014 0:00,4,22,47,2129,4,4,274,28035,999
12/24/2014 0:00,2,16,13,2006,3,1,12,67,60
12/24/2014 0:00,4,18,96,466,1,9,69,18423,0
12/24/2014 0:00,5,6,325,2132,4,9,152,23,0
12/24/2014 0:00,2,24,2,46,1,6,30,0,0
12/24/2014 0:00,5,6,324,2131,4,9,152,0,0
12/24/2014 0:00,5,6,77,2121,4,9,152,0,0
12/23/2014 0:00,6,10,216,2124,4,2,49,12460,119
12/23/2014 0:00,4,5,56,954,4,9,109,625,20
12/23/2014 0:00,5,7,9,1760,4,1,270,1691,20
12/23/2014 0:00,4,5,7,71,1,9,134,45,0
12/23/2014 0:00,4,5,327,470,1,9,247,1717,0
12/22/2014 0:00,5,6,34,2134,3,11,216,267,55
12/22/2014 0:00,4,5,56,935,3,9,134,11125,307
12/22/2014 0:00,6,10,216,2125,4,2,25,185120,15
12/22/2014 0:00,5,6,34,631,4,11,135,336509,120
12/22/2014 0:00,2,2,1,2128,3,1,58,2,45
12/22/2014 0:00,2,2,1,2,3,1,195,20,30
12/22/2014 0:00,5,6,9,1991,3,1,23,53,5
12/22/2014 0:00,4,5,96,466,4,9,34,23,0
12/22/2014 0:00,4,5,96,466,3,9,112,9345,0
12/22/2014 0:00,4,5,279,1766,3,9,146,9968,0
12/22/2014 0:00,4,18,328,2136,1,9,247,34390,0
12/22/2014 0:00,6,10,163,2135,4,9,146,101,0
12/22/2014 0:00,5,7,139,1517,4,9,265,490,0
12/22/2014 0:00,4,23,88,1300,1,10,144,175,0
12/21/2014 0:00,2,16,2,1455,3,4,274,13,180
12/21/2014 0:00,2,16,2,979,3,6,281,67,60
12/21/2014 0:00,2,16,47,978,3,4,274,1,180
12/21/2014 0:00,2,16,47,1503,3,4,274,13,270
12/21/2014 0:00,4,5,24,174,3,9,69,23,33
12/21/2014 0:00,2,16,1,1660,3,1,7,41,35
12/21/2014 0:00,4,5,24,174,1,9,69,25632,0
12/21/2014 0:00,2,2,1,1907,1,1,11,1,0
12/21/2014 0:00,2,2,1,2127,4,1,11,1,0
12/21/2014 0:00,2,24,1,678,4,1,272,33,0
12/21/2014 0:00,2,24,1,456,4,1,270,143,0
12/21/2014 0:00,4,23,13,2133,1,1,270,0,0
12/21/2014 0:00,2,2,326,207,1,9,69,0,0
12/21/2014 0:00,4,18,25,2130,1,9,247,0,0
12/20/2014 0:00,4,5,74,1223,1,9,247,6230,0
12/18/2014 0:00,5,6,52,2115,3,10,144,11036,45
12/18/2014 0:00,5,6,52,2116,3,10,269,12015,60
12/18/2014 0:00,2,20,93,2114,3,9,34,890,30
12/18/2014 0:00,4,12,72,465,3,9,69,14908,120
12/18/2014 0:00,6,10,62,878,4,1,291,677,0
12/18/2014 0:00,2,13,182,1018,4,14,114,2,0
12/17/2014 0:00,4,5,99,794,4,9,69,29,0
12/17/2014 0:00,4,5,29,559,1,9,247,2208,0
12/17/2014 0:00,2,16,2,2009,4,4,27,0,0
12/17/2014 0:00,4,18,96,963,4,9,64,0,0
12/16/2014 0:00,3,4,11,1968,3,2,278,5042,22
12/16/2014 0:00,3,4,11,1868,3,2,278,5140,40
12/16/2014 0:00,2,24,1,456,3,1,270,241,120
12/16/2014 0:00,4,5,7,1415,1,9,134,300,0
12/16/2014 0:00,4,5,14,2113,4,6,30,1,0
12/16/2014 0:00,3,4,11,1868,1,2,278,2617,0
12/16/2014 0:00,3,4,11,2111,1,2,278,2991,0
12/16/2014 0:00,3,4,11,1869,4,2,278,5429,0
12/15/2014 0:00,3,4,4,2120,3,10,57,0,10
12/15/2014 0:00,3,4,17,608,3,13,275,0,30
